Hour,Seasons,Holiday,Functioning Day,Month,Rented Bike Count
Morning,Winter,No Holiday,Yes,December,82
Morning,Winter,No Holiday,Yes,December,200
Morning,Winter,No Holiday,Yes,December,498
Morning,Winter,No Holiday,Yes,December,937
Morning,Winter,No Holiday,Yes,December,509
Morning,Winter,No Holiday,Yes,December,311
Morning,Winter,No Holiday,Yes,December,379
Morning,Winter,No Holiday,Yes,December,393
Afternoon,Winter,No Holiday,Yes,December,391
Afternoon,Winter,No Holiday,Yes,December,338
Afternoon,Winter,No Holiday,Yes,December,341
Afternoon,Winter,No Holiday,Yes,December,375
Afternoon,Winter,No Holiday,Yes,December,515
Afternoon,Winter,No Holiday,Yes,December,807
Night,Winter,No Holiday,Yes,December,568
Night,Winter,No Holiday,Yes,December,398
Night,Winter,No Holiday,Yes,December,397
Night,Winter,No Holiday,Yes,December,353
Night,Winter,No Holiday,Yes,December,248
Morning,Winter,No Holiday,Yes,December,216
Morning,Winter,No Holiday,Yes,December,198
Morning,Winter,No Holiday,Yes,December,124
Morning,Winter,No Holiday,Yes,December,62
Morning,Winter,No Holiday,Yes,December,42
Morning,Winter,No Holiday,Yes,December,82
Morning,Winter,No Holiday,Yes,December,172
Morning,Winter,No Holiday,Yes,December,381
Morning,Winter,No Holiday,Yes,December,812
Morning,Winter,No Holiday,Yes,December,462
Morning,Winter,No Holiday,Yes,December,269
Morning,Winter,No Holiday,Yes,December,334
Morning,Winter,No Holiday,Yes,December,321
Afternoon,Winter,No Holiday,Yes,December,325
Afternoon,Winter,No Holiday,Yes,December,334
Afternoon,Winter,No Holiday,Yes,December,353
Afternoon,Winter,No Holiday,Yes,December,435
Afternoon,Winter,No Holiday,Yes,December,529
Afternoon,Winter,No Holiday,Yes,December,789
Night,Winter,No Holiday,Yes,December,597
Night,Winter,No Holiday,Yes,December,418
Night,Winter,No Holiday,Yes,December,415
Night,Winter,No Holiday,Yes,December,393
Night,Winter,No Holiday,Yes,December,244
Morning,Winter,No Holiday,Yes,December,145
Morning,Winter,No Holiday,Yes,December,144
Morning,Winter,No Holiday,Yes,December,117
Morning,Winter,No Holiday,Yes,December,78
Morning,Winter,No Holiday,Yes,December,58
Morning,Winter,No Holiday,Yes,December,87
Morning,Winter,No Holiday,Yes,December,142
Morning,Winter,No Holiday,Yes,December,379
Morning,Winter,No Holiday,Yes,December,802
Morning,Winter,No Holiday,Yes,December,440
Morning,Winter,No Holiday,Yes,December,307
Morning,Winter,No Holiday,Yes,December,381
Morning,Winter,No Holiday,Yes,December,405
Afternoon,Winter,No Holiday,Yes,December,442
Afternoon,Winter,No Holiday,Yes,December,416
Afternoon,Winter,No Holiday,Yes,December,412
Afternoon,Winter,No Holiday,Yes,December,496
Afternoon,Winter,No Holiday,Yes,December,239
Afternoon,Winter,No Holiday,Yes,December,204
Night,Winter,No Holiday,Yes,December,205
Night,Winter,No Holiday,Yes,December,190
Night,Winter,No Holiday,Yes,December,165
Night,Winter,No Holiday,Yes,December,222
Night,Winter,No Holiday,Yes,December,193
Morning,Winter,No Holiday,Yes,December,198
Morning,Winter,No Holiday,Yes,December,218
Morning,Winter,No Holiday,Yes,December,149
Morning,Winter,No Holiday,Yes,December,102
Morning,Winter,No Holiday,Yes,December,62
Morning,Winter,No Holiday,Yes,December,83
Morning,Winter,No Holiday,Yes,December,137
Morning,Winter,No Holiday,Yes,December,367
Morning,Winter,No Holiday,Yes,December,754
Morning,Winter,No Holiday,Yes,December,415
Morning,Winter,No Holiday,Yes,December,321
Morning,Winter,No Holiday,Yes,December,333
Morning,Winter,No Holiday,Yes,December,431
Afternoon,Winter,No Holiday,Yes,December,394
Afternoon,Winter,No Holiday,Yes,December,390
Afternoon,Winter,No Holiday,Yes,December,430
Afternoon,Winter,No Holiday,Yes,December,471
Afternoon,Winter,No Holiday,Yes,December,552
Afternoon,Winter,No Holiday,Yes,December,795
Night,Winter,No Holiday,Yes,December,507
Night,Winter,No Holiday,Yes,December,390
Night,Winter,No Holiday,Yes,December,402
Night,Winter,No Holiday,Yes,December,389
Night,Winter,No Holiday,Yes,December,259
Morning,Winter,No Holiday,Yes,December,233
Morning,Winter,No Holiday,Yes,December,230
Morning,Winter,No Holiday,Yes,December,131
Morning,Winter,No Holiday,Yes,December,99
Morning,Winter,No Holiday,Yes,December,71
Morning,Winter,No Holiday,Yes,December,84
Morning,Winter,No Holiday,Yes,December,158
Morning,Winter,No Holiday,Yes,December,387
Morning,Winter,No Holiday,Yes,December,780
Morning,Winter,No Holiday,Yes,December,395
Morning,Winter,No Holiday,Yes,December,261
Morning,Winter,No Holiday,Yes,December,310
Morning,Winter,No Holiday,Yes,December,355
Afternoon,Winter,No Holiday,Yes,December,354
Afternoon,Winter,No Holiday,Yes,December,350
Afternoon,Winter,No Holiday,Yes,December,362
Afternoon,Winter,No Holiday,Yes,December,401
Afternoon,Winter,No Holiday,Yes,December,500
Afternoon,Winter,No Holiday,Yes,December,752
Night,Winter,No Holiday,Yes,December,477
Night,Winter,No Holiday,Yes,December,384
Night,Winter,No Holiday,Yes,December,336
Night,Winter,No Holiday,Yes,December,347
Night,Winter,No Holiday,Yes,December,275
Morning,Winter,No Holiday,Yes,December,267
Morning,Winter,No Holiday,Yes,December,296
Morning,Winter,No Holiday,Yes,December,237
Morning,Winter,No Holiday,Yes,December,169
Morning,Winter,No Holiday,Yes,December,96
Morning,Winter,No Holiday,Yes,December,56
Morning,Winter,No Holiday,Yes,December,76
Morning,Winter,No Holiday,Yes,December,127
Morning,Winter,No Holiday,Yes,December,222
Morning,Winter,No Holiday,Yes,December,291
Morning,Winter,No Holiday,Yes,December,273
Morning,Winter,No Holiday,Yes,December,351
Morning,Winter,No Holiday,Yes,December,427
Afternoon,Winter,No Holiday,Yes,December,431
Afternoon,Winter,No Holiday,Yes,December,486
Afternoon,Winter,No Holiday,Yes,December,569
Afternoon,Winter,No Holiday,Yes,December,546
Afternoon,Winter,No Holiday,Yes,December,481
Afternoon,Winter,No Holiday,Yes,December,384
Night,Winter,No Holiday,Yes,December,275
Night,Winter,No Holiday,Yes,December,298
Night,Winter,No Holiday,Yes,December,321
Night,Winter,No Holiday,Yes,December,289
Night,Winter,No Holiday,Yes,December,265
Morning,Winter,No Holiday,Yes,December,326
Morning,Winter,No Holiday,Yes,December,280
Morning,Winter,No Holiday,Yes,December,243
Morning,Winter,No Holiday,Yes,December,169
Morning,Winter,No Holiday,Yes,December,71
Morning,Winter,No Holiday,Yes,December,13
Morning,Winter,No Holiday,Yes,December,9
Morning,Winter,No Holiday,Yes,December,20
Morning,Winter,No Holiday,Yes,December,35
Morning,Winter,No Holiday,Yes,December,31
Morning,Winter,No Holiday,Yes,December,19
Morning,Winter,No Holiday,Yes,December,58
Morning,Winter,No Holiday,Yes,December,119
Afternoon,Winter,No Holiday,Yes,December,182
Afternoon,Winter,No Holiday,Yes,December,235
Afternoon,Winter,No Holiday,Yes,December,180
Afternoon,Winter,No Holiday,Yes,December,214
Afternoon,Winter,No Holiday,Yes,December,226
Afternoon,Winter,No Holiday,Yes,December,210
Night,Winter,No Holiday,Yes,December,181
Night,Winter,No Holiday,Yes,December,165
Night,Winter,No Holiday,Yes,December,167
Night,Winter,No Holiday,Yes,December,152
Night,Winter,No Holiday,Yes,December,148
Morning,Winter,No Holiday,Yes,December,125
Morning,Winter,No Holiday,Yes,December,111
Morning,Winter,No Holiday,Yes,December,67
Morning,Winter,No Holiday,Yes,December,45
Morning,Winter,No Holiday,Yes,December,44
Morning,Winter,No Holiday,Yes,December,86
Morning,Winter,No Holiday,Yes,December,136
Morning,Winter,No Holiday,Yes,December,325
Morning,Winter,No Holiday,Yes,December,653
Morning,Winter,No Holiday,Yes,December,326
Morning,Winter,No Holiday,Yes,December,212
Morning,Winter,No Holiday,Yes,December,226
Morning,Winter,No Holiday,Yes,December,247
Afternoon,Winter,No Holiday,Yes,December,241
Afternoon,Winter,No Holiday,Yes,December,253
Afternoon,Winter,No Holiday,Yes,December,269
Afternoon,Winter,No Holiday,Yes,December,277
Afternoon,Winter,No Holiday,Yes,December,361
Afternoon,Winter,No Holiday,Yes,December,557
Night,Winter,No Holiday,Yes,December,371
Night,Winter,No Holiday,Yes,December,254
Night,Winter,No Holiday,Yes,December,266
Night,Winter,No Holiday,Yes,December,222
Night,Winter,No Holiday,Yes,December,174
Morning,Winter,No Holiday,Yes,December,133
Morning,Winter,No Holiday,Yes,December,127
Morning,Winter,No Holiday,Yes,December,95
Morning,Winter,No Holiday,Yes,December,54
Morning,Winter,No Holiday,Yes,December,46
Morning,Winter,No Holiday,Yes,December,65
Morning,Winter,No Holiday,Yes,December,104
Morning,Winter,No Holiday,Yes,December,280
Morning,Winter,No Holiday,Yes,December,580
Morning,Winter,No Holiday,Yes,December,275
Morning,Winter,No Holiday,Yes,December,184
Morning,Winter,No Holiday,Yes,December,201
Morning,Winter,No Holiday,Yes,December,228
Afternoon,Winter,No Holiday,Yes,December,225
Afternoon,Winter,No Holiday,Yes,December,258
Afternoon,Winter,No Holiday,Yes,December,250
Afternoon,Winter,No Holiday,Yes,December,248
Afternoon,Winter,No Holiday,Yes,December,305
Afternoon,Winter,No Holiday,Yes,December,529
Night,Winter,No Holiday,Yes,December,350
Night,Winter,No Holiday,Yes,December,260
Night,Winter,No Holiday,Yes,December,270
Night,Winter,No Holiday,Yes,December,256
Night,Winter,No Holiday,Yes,December,173
Morning,Winter,No Holiday,Yes,December,168
Morning,Winter,No Holiday,Yes,December,183
Morning,Winter,No Holiday,Yes,December,120
Morning,Winter,No Holiday,Yes,December,79
Morning,Winter,No Holiday,Yes,December,41
Morning,Winter,No Holiday,Yes,December,68
Morning,Winter,No Holiday,Yes,December,109
Morning,Winter,No Holiday,Yes,December,310
Morning,Winter,No Holiday,Yes,December,591
Morning,Winter,No Holiday,Yes,December,340
Morning,Winter,No Holiday,Yes,December,202
Morning,Winter,No Holiday,Yes,December,251
Morning,Winter,No Holiday,Yes,December,267
Afternoon,Winter,No Holiday,Yes,December,251
Afternoon,Winter,No Holiday,Yes,December,240
Afternoon,Winter,No Holiday,Yes,December,240
Afternoon,Winter,No Holiday,Yes,December,278
Afternoon,Winter,No Holiday,Yes,December,392
Afternoon,Winter,No Holiday,Yes,December,537
Night,Winter,No Holiday,Yes,December,373
Night,Winter,No Holiday,Yes,December,263
Night,Winter,No Holiday,Yes,December,271
Night,Winter,No Holiday,Yes,December,271
Night,Winter,No Holiday,Yes,December,174
Morning,Winter,No Holiday,Yes,December,171
Morning,Winter,No Holiday,Yes,December,170
Morning,Winter,No Holiday,Yes,December,107
Morning,Winter,No Holiday,Yes,December,80
Morning,Winter,No Holiday,Yes,December,52
Morning,Winter,No Holiday,Yes,December,62
Morning,Winter,No Holiday,Yes,December,108
Morning,Winter,No Holiday,Yes,December,279
Morning,Winter,No Holiday,Yes,December,621
Morning,Winter,No Holiday,Yes,December,305
Morning,Winter,No Holiday,Yes,December,189
Morning,Winter,No Holiday,Yes,December,247
Morning,Winter,No Holiday,Yes,December,278
Afternoon,Winter,No Holiday,Yes,December,282
Afternoon,Winter,No Holiday,Yes,December,294
Afternoon,Winter,No Holiday,Yes,December,301
Afternoon,Winter,No Holiday,Yes,December,335
Afternoon,Winter,No Holiday,Yes,December,382
Afternoon,Winter,No Holiday,Yes,December,612
Night,Winter,No Holiday,Yes,December,410
Night,Winter,No Holiday,Yes,December,277
Night,Winter,No Holiday,Yes,December,316
Night,Winter,No Holiday,Yes,December,309
Night,Winter,No Holiday,Yes,December,211
Morning,Winter,No Holiday,Yes,December,227
Morning,Winter,No Holiday,Yes,December,241
Morning,Winter,No Holiday,Yes,December,162
Morning,Winter,No Holiday,Yes,December,110
Morning,Winter,No Holiday,Yes,December,69
Morning,Winter,No Holiday,Yes,December,68
Morning,Winter,No Holiday,Yes,December,129
Morning,Winter,No Holiday,Yes,December,285
Morning,Winter,No Holiday,Yes,December,658
Morning,Winter,No Holiday,Yes,December,330
Morning,Winter,No Holiday,Yes,December,221
Morning,Winter,No Holiday,Yes,December,279
Morning,Winter,No Holiday,Yes,December,309
Afternoon,Winter,No Holiday,Yes,December,325
Afternoon,Winter,No Holiday,Yes,December,329
Afternoon,Winter,No Holiday,Yes,December,342
Afternoon,Winter,No Holiday,Yes,December,354
Afternoon,Winter,No Holiday,Yes,December,464
Afternoon,Winter,No Holiday,Yes,December,682
Night,Winter,No Holiday,Yes,December,451
Night,Winter,No Holiday,Yes,December,320
Night,Winter,No Holiday,Yes,December,300
Night,Winter,No Holiday,Yes,December,296
Night,Winter,No Holiday,Yes,December,247
Morning,Winter,No Holiday,Yes,December,217
Morning,Winter,No Holiday,Yes,December,302
Morning,Winter,No Holiday,Yes,December,228
Morning,Winter,No Holiday,Yes,December,129
Morning,Winter,No Holiday,Yes,December,80
Morning,Winter,No Holiday,Yes,December,45
Morning,Winter,No Holiday,Yes,December,66
Morning,Winter,No Holiday,Yes,December,90
Morning,Winter,No Holiday,Yes,December,190
Morning,Winter,No Holiday,Yes,December,195
Morning,Winter,No Holiday,Yes,December,201
Morning,Winter,No Holiday,Yes,December,239
Morning,Winter,No Holiday,Yes,December,252
Afternoon,Winter,No Holiday,Yes,December,296
Afternoon,Winter,No Holiday,Yes,December,292
Afternoon,Winter,No Holiday,Yes,December,291
Afternoon,Winter,No Holiday,Yes,December,258
Afternoon,Winter,No Holiday,Yes,December,277
Afternoon,Winter,No Holiday,Yes,December,212
Night,Winter,No Holiday,Yes,December,173
Night,Winter,No Holiday,Yes,December,143
Night,Winter,No Holiday,Yes,December,159
Night,Winter,No Holiday,Yes,December,155
Night,Winter,No Holiday,Yes,December,142
Morning,Winter,No Holiday,Yes,December,175
Morning,Winter,No Holiday,Yes,December,146
Morning,Winter,No Holiday,Yes,December,132
Morning,Winter,No Holiday,Yes,December,100
Morning,Winter,No Holiday,Yes,December,41
Morning,Winter,No Holiday,Yes,December,31
Morning,Winter,No Holiday,Yes,December,39
Morning,Winter,No Holiday,Yes,December,53
Morning,Winter,No Holiday,Yes,December,94
Morning,Winter,No Holiday,Yes,December,122
Morning,Winter,No Holiday,Yes,December,142
Morning,Winter,No Holiday,Yes,December,189
Morning,Winter,No Holiday,Yes,December,216
Afternoon,Winter,No Holiday,Yes,December,223
Afternoon,Winter,No Holiday,Yes,December,268
Afternoon,Winter,No Holiday,Yes,December,278
Afternoon,Winter,No Holiday,Yes,December,256
Afternoon,Winter,No Holiday,Yes,December,266
Afternoon,Winter,No Holiday,Yes,December,204
Night,Winter,No Holiday,Yes,December,157
Night,Winter,No Holiday,Yes,December,166
Night,Winter,No Holiday,Yes,December,168
Night,Winter,No Holiday,Yes,December,172
Night,Winter,No Holiday,Yes,December,138
Morning,Winter,No Holiday,Yes,December,151
Morning,Winter,No Holiday,Yes,December,97
Morning,Winter,No Holiday,Yes,December,38
Morning,Winter,No Holiday,Yes,December,32
Morning,Winter,No Holiday,Yes,December,29
Morning,Winter,No Holiday,Yes,December,27
Morning,Winter,No Holiday,Yes,December,45
Morning,Winter,No Holiday,Yes,December,96
Morning,Winter,No Holiday,Yes,December,146
Morning,Winter,No Holiday,Yes,December,52
Morning,Winter,No Holiday,Yes,December,36
Morning,Winter,No Holiday,Yes,December,44
Morning,Winter,No Holiday,Yes,December,62
Afternoon,Winter,No Holiday,Yes,December,76
Afternoon,Winter,No Holiday,Yes,December,116
Afternoon,Winter,No Holiday,Yes,December,137
Afternoon,Winter,No Holiday,Yes,December,181
Afternoon,Winter,No Holiday,Yes,December,175
Afternoon,Winter,No Holiday,Yes,December,281
Night,Winter,No Holiday,Yes,December,198
Night,Winter,No Holiday,Yes,December,165
Night,Winter,No Holiday,Yes,December,148
Night,Winter,No Holiday,Yes,December,160
Night,Winter,No Holiday,Yes,December,128
Morning,Winter,No Holiday,Yes,December,122
Morning,Winter,No Holiday,Yes,December,122
Morning,Winter,No Holiday,Yes,December,93
Morning,Winter,No Holiday,Yes,December,55
Morning,Winter,No Holiday,Yes,December,39
Morning,Winter,No Holiday,Yes,December,55
Morning,Winter,No Holiday,Yes,December,78
Morning,Winter,No Holiday,Yes,December,165
Morning,Winter,No Holiday,Yes,December,390
Morning,Winter,No Holiday,Yes,December,199
Morning,Winter,No Holiday,Yes,December,151
Morning,Winter,No Holiday,Yes,December,174
Morning,Winter,No Holiday,Yes,December,191
Afternoon,Winter,No Holiday,Yes,December,189
Afternoon,Winter,No Holiday,Yes,December,178
Afternoon,Winter,No Holiday,Yes,December,195
Afternoon,Winter,No Holiday,Yes,December,211
Afternoon,Winter,No Holiday,Yes,December,256
Afternoon,Winter,No Holiday,Yes,December,384
Night,Winter,No Holiday,Yes,December,276
Night,Winter,No Holiday,Yes,December,225
Night,Winter,No Holiday,Yes,December,224
Night,Winter,No Holiday,Yes,December,213
Night,Winter,No Holiday,Yes,December,149
Morning,Winter,No Holiday,Yes,December,142
Morning,Winter,No Holiday,Yes,December,172
Morning,Winter,No Holiday,Yes,December,108
Morning,Winter,No Holiday,Yes,December,71
Morning,Winter,No Holiday,Yes,December,38
Morning,Winter,No Holiday,Yes,December,56
Morning,Winter,No Holiday,Yes,December,97
Morning,Winter,No Holiday,Yes,December,213
Morning,Winter,No Holiday,Yes,December,466
Morning,Winter,No Holiday,Yes,December,239
Morning,Winter,No Holiday,Yes,December,162
Morning,Winter,No Holiday,Yes,December,204
Morning,Winter,No Holiday,Yes,December,209
Afternoon,Winter,No Holiday,Yes,December,228
Afternoon,Winter,No Holiday,Yes,December,243
Afternoon,Winter,No Holiday,Yes,December,240
Afternoon,Winter,No Holiday,Yes,December,225
Afternoon,Winter,No Holiday,Yes,December,237
Afternoon,Winter,No Holiday,Yes,December,329
Night,Winter,No Holiday,Yes,December,190
Night,Winter,No Holiday,Yes,December,165
Night,Winter,No Holiday,Yes,December,197
Night,Winter,No Holiday,Yes,December,184
Night,Winter,No Holiday,Yes,December,153
Morning,Winter,No Holiday,Yes,December,166
Morning,Winter,No Holiday,Yes,December,189
Morning,Winter,No Holiday,Yes,December,132
Morning,Winter,No Holiday,Yes,December,79
Morning,Winter,No Holiday,Yes,December,58
Morning,Winter,No Holiday,Yes,December,49
Morning,Winter,No Holiday,Yes,December,84
Morning,Winter,No Holiday,Yes,December,178
Morning,Winter,No Holiday,Yes,December,423
Morning,Winter,No Holiday,Yes,December,265
Morning,Winter,No Holiday,Yes,December,169
Morning,Winter,No Holiday,Yes,December,243
Morning,Winter,No Holiday,Yes,December,290
Afternoon,Winter,No Holiday,Yes,December,285
Afternoon,Winter,No Holiday,Yes,December,255
Afternoon,Winter,No Holiday,Yes,December,316
Afternoon,Winter,No Holiday,Yes,December,301
Afternoon,Winter,No Holiday,Yes,December,366
Afternoon,Winter,No Holiday,Yes,December,531
Night,Winter,No Holiday,Yes,December,355
Night,Winter,No Holiday,Yes,December,288
Night,Winter,No Holiday,Yes,December,248
Night,Winter,No Holiday,Yes,December,252
Night,Winter,No Holiday,Yes,December,212
Morning,Winter,Holiday,Yes,December,196
Morning,Winter,Holiday,Yes,December,250
Morning,Winter,Holiday,Yes,December,161
Morning,Winter,Holiday,Yes,December,99
Morning,Winter,Holiday,Yes,December,64
Morning,Winter,Holiday,Yes,December,76
Morning,Winter,Holiday,Yes,December,114
Morning,Winter,Holiday,Yes,December,283
Morning,Winter,Holiday,Yes,December,544
Morning,Winter,Holiday,Yes,December,298
Morning,Winter,Holiday,Yes,December,248
Morning,Winter,Holiday,Yes,December,278
Morning,Winter,Holiday,Yes,December,301
Afternoon,Winter,Holiday,Yes,December,320
Afternoon,Winter,Holiday,Yes,December,326
Afternoon,Winter,Holiday,Yes,December,386
Afternoon,Winter,Holiday,Yes,December,416
Afternoon,Winter,Holiday,Yes,December,477
Afternoon,Winter,Holiday,Yes,December,671
Night,Winter,Holiday,Yes,December,481
Night,Winter,Holiday,Yes,December,323
Night,Winter,Holiday,Yes,December,309
Night,Winter,Holiday,Yes,December,314
Night,Winter,Holiday,Yes,December,249
Morning,Winter,No Holiday,Yes,December,282
Morning,Winter,No Holiday,Yes,December,337
Morning,Winter,No Holiday,Yes,December,312
Morning,Winter,No Holiday,Yes,December,230
Morning,Winter,No Holiday,Yes,December,120
Morning,Winter,No Holiday,Yes,December,59
Morning,Winter,No Holiday,Yes,December,63
Morning,Winter,No Holiday,Yes,December,99
Morning,Winter,No Holiday,Yes,December,188
Morning,Winter,No Holiday,Yes,December,239
Morning,Winter,No Holiday,Yes,December,235
Morning,Winter,No Holiday,Yes,December,282
Morning,Winter,No Holiday,Yes,December,325
Afternoon,Winter,No Holiday,Yes,December,423
Afternoon,Winter,No Holiday,Yes,December,405
Afternoon,Winter,No Holiday,Yes,December,443
Afternoon,Winter,No Holiday,Yes,December,473
Afternoon,Winter,No Holiday,Yes,December,453
Afternoon,Winter,No Holiday,Yes,December,340
Night,Winter,No Holiday,Yes,December,260
Night,Winter,No Holiday,Yes,December,258
Night,Winter,No Holiday,Yes,December,279
Night,Winter,No Holiday,Yes,December,282
Night,Winter,No Holiday,Yes,December,237
Morning,Winter,Holiday,Yes,December,266
Morning,Winter,Holiday,Yes,December,251
Morning,Winter,Holiday,Yes,December,196
Morning,Winter,Holiday,Yes,December,149
Morning,Winter,Holiday,Yes,December,79
Morning,Winter,Holiday,Yes,December,44
Morning,Winter,Holiday,Yes,December,12
Morning,Winter,Holiday,Yes,December,3
Morning,Winter,Holiday,Yes,December,4
Morning,Winter,Holiday,Yes,December,3
Morning,Winter,Holiday,Yes,December,4
Morning,Winter,Holiday,Yes,December,9
Morning,Winter,Holiday,Yes,December,4
Afternoon,Winter,Holiday,Yes,December,7
Afternoon,Winter,Holiday,Yes,December,28
Afternoon,Winter,Holiday,Yes,December,38
Afternoon,Winter,Holiday,Yes,December,54
Afternoon,Winter,Holiday,Yes,December,104
Afternoon,Winter,Holiday,Yes,December,128
Night,Winter,Holiday,Yes,December,132
Night,Winter,Holiday,Yes,December,116
Night,Winter,Holiday,Yes,December,145
Night,Winter,Holiday,Yes,December,110
Night,Winter,Holiday,Yes,December,128
Morning,Winter,Holiday,Yes,December,160
Morning,Winter,Holiday,Yes,December,132
Morning,Winter,Holiday,Yes,December,115
Morning,Winter,Holiday,Yes,December,100
Morning,Winter,Holiday,Yes,December,72
Morning,Winter,Holiday,Yes,December,32
Morning,Winter,Holiday,Yes,December,59
Morning,Winter,Holiday,Yes,December,61
Morning,Winter,Holiday,Yes,December,94
Morning,Winter,Holiday,Yes,December,107
Morning,Winter,Holiday,Yes,December,133
Morning,Winter,Holiday,Yes,December,179
Morning,Winter,Holiday,Yes,December,221
Afternoon,Winter,Holiday,Yes,December,244
Afternoon,Winter,Holiday,Yes,December,274
Afternoon,Winter,Holiday,Yes,December,319
Afternoon,Winter,Holiday,Yes,December,272
Afternoon,Winter,Holiday,Yes,December,260
Afternoon,Winter,Holiday,Yes,December,237
Night,Winter,Holiday,Yes,December,184
Night,Winter,Holiday,Yes,December,181
Night,Winter,Holiday,Yes,December,185
Night,Winter,Holiday,Yes,December,176
Night,Winter,Holiday,Yes,December,169
Morning,Winter,No Holiday,Yes,December,178
Morning,Winter,No Holiday,Yes,December,127
Morning,Winter,No Holiday,Yes,December,85
Morning,Winter,No Holiday,Yes,December,72
Morning,Winter,No Holiday,Yes,December,49
Morning,Winter,No Holiday,Yes,December,65
Morning,Winter,No Holiday,Yes,December,120
Morning,Winter,No Holiday,Yes,December,296
Morning,Winter,No Holiday,Yes,December,578
Morning,Winter,No Holiday,Yes,December,293
Morning,Winter,No Holiday,Yes,December,180
Morning,Winter,No Holiday,Yes,December,250
Morning,Winter,No Holiday,Yes,December,262
Afternoon,Winter,No Holiday,Yes,December,262
Afternoon,Winter,No Holiday,Yes,December,271
Afternoon,Winter,No Holiday,Yes,December,246
Afternoon,Winter,No Holiday,Yes,December,282
Afternoon,Winter,No Holiday,Yes,December,350
Afternoon,Winter,No Holiday,Yes,December,481
Night,Winter,No Holiday,Yes,December,317
Night,Winter,No Holiday,Yes,December,252
Night,Winter,No Holiday,Yes,December,220
Night,Winter,No Holiday,Yes,December,213
Night,Winter,No Holiday,Yes,December,156
Morning,Winter,No Holiday,Yes,December,133
Morning,Winter,No Holiday,Yes,December,142
Morning,Winter,No Holiday,Yes,December,93
Morning,Winter,No Holiday,Yes,December,81
